Congressional District,Percentage People of Color,Democratic Candidate,Democratic General Electional Margin of Victory ," Democratic Primary Challenger? (1 = YES, 0 = NO)",Primary Election Margin of Victory? (Percentage),"Incumbent? (2 = Democratic incumbent, 1 = Republican incumbent, 0 = NO)"
CA-26,56.4,Julia Brownley,23.88,1,50.4,2
CA-08,56.2,,,,,
GA-07,55.9,Carolyn Bourdeaux,-0.15,1,4,1
FL-14,55.1,Kathy Castor,N/A,0,N/A,2
MD-05,54.5,Steny Hoyer,43.21,1,68.2,2
CA-11,54.3,Mark DeSaulnier,48.26,1,62.8,2
VA-11,54.3,Gerald Connolly,44.17,0,N/A,2
CA-23,54.1,Tatiana Matta,-27.43,1,2.5,1
NV-04,53.6,Steven Horsford,8.18,1,46.5,0
WA-09,53.5,Adam Smith,35.8,1,21.5,2
TX-24,53.5,Jan McDowell,-3.07,1,31,1
NJ-12,53.5,Bonnie Watson Coleman,37.36,0,N/A,2
NJ-06,52.6,Frank Pallone,27.27,1,72.4,2
TX-02,52.5,Todd Litton,-7.29,1,30.7,0
CA-03,52,John Garamendi,16.15,1,49.3,2
TX-32,51.7,Colin Allred,6.52,1,39,1
VA-04,51.2,Donald McEachin,26.66,0,N/A,2
CA-05,50.7,Mike Thompson,57.74,0,N/A,2
AZ-01,50.6,Tom O'Halleran,7.69,0,N/A,2
TX-06,50.4,Jana Lynne Sanchez,-7.66,1,6.2,0
MD-02,49.7,Dutch Ruppersberger,35.3,1,56.2,2
TX-14,49.3,Adrienne Bell,-19.93,1,59.6,1
CA-30,49.2,Brad Sherman,46.8,1,57,2
CA-45,49.2,Katie Porter,4.1,1,2.5,1
IL-08,48.5,Raja Krishnamoorthi,31.95,0,N/A,2
IL-11,48.4,Bill Foster,27.68,0,N/A,2
VA-08,48,Don Beyer,52.42,0,N/A,2
OH-03,47.7,Joyce Beatty,47.24,0,N/A,2
TX-05,47.7,Dan Wood,-24.8,0,N/A,0
IN-07,47.5,André Carson,29.73,1,79.8,2
CA-07,47.5,Ami Bera,10.09,0,N/A,2
CA-18,47.1,Anna Eshoo,48.98,0,N/A,2
TX-19,46.7,Miguel Levario,-50.45,0,N/A,1
WA-04,46.1,Christine Brown,-25.64,0,N/A,1
CA-24,45.6,Salud Carbajal,17.11,0,N/A,2
CA-50,45.3,Ammar Campa-Najjar,-3.43,1,4.7,1
GA-12,45.1,Francys Johnson,-18.96,1,8.6,1
TX-17,45.1,Rick Kennedy,-15.49,1,26.6,1
AZ-09,44.7,Greg Stanton,22.17,0,N/A,0
CA-28,44.6,Adam Schiff,56.74,1,67.7,2
TX-10,44.5,Mike Siegel,-4.27,1,40.4,1
TX-11,44.4,Jennie Lou Leeder,-61.7,1,65.4,1
NY-04,43.8,Kathleen Rice,22.6,0,N/A,2
NC-04,43.7,David Price,48.27,1,60.7,2
CA-48,43.7,Harley Rouda,7.1,1,0.1,1
TX-31,43.5,M.J. Hegar,-2.91,1,24.4,1
FL-21,43.4,Lois Frankel,N/A,0,N/A,2
NV-03,43.3,Susie Lee,9.06,1,58.7,0
IL-03,43.3,Daniel Lipinski,47.09,1,2.2,2
PA-13,43.2,Brent Ottaway,-40.98,0,N/A,0
TX-03,42.9,Lorie Burch,-10.01,1,50,0
IL-10,42.8,Brad Schneider,30.79,0,N/A,2
OK-05,42.5,Kendra Horn,1.4,1,51.6,1
CO-01,42.1,Diana DeGette,50.76,1,36.4,2
LA-04,42,Ryan Trundle,-30.61,0,N/A,1
FL-07,41.9,Stephanie Murphy,15.38,1,72.4,2
MD-03,41.8,John Sarbanes,40.85,1,73.7,2
FL-15,41.7,Kristen Carlson,-6.04,1,21.8,0
FL-22,41.7,Ted Deutch,24.05,1,73,2
MD-06,41.1,David Trone,20.98,1,9.3,0
GA-06,41.1,Lucy McBath,1.03,1,7.4,1
CA-52,40.9,Scott Peters,27.69,0,N/A,2
MI-03,40.9,Cathy Albro,-11.24,1,36.4,1
GA-01,40.9,Lisa Ring,-15.48,0,N/A,1
NY-17,40.4,Nita Lowey,76.05,0,N/A,2
GA-08,40.3,,,,,
NY-11,40.3,Max Rose,6.45,1,43.3,1
TN-05,40.1,Jim Cooper,35.69,0,N/A,2
MD-08,40,Jamie Raskin,37.94,1,84.7,2
,Sources: American Public Media (APM) Research Lab: https://public.tableau.com/shared/5RJP6CCRG?:display_count=yes&:showVizHome=no,,,,,
,"Ballotpedia United States House of Representatives elections, 2018: https://ballotpedia.org/United_States_House_of_Representatives_elections,_2018",,,,,
